Epoch: 2159, Reward: -15590, Loss: 213.445, Actions: Counter({'[3]': 2100, '[0]': 56, '[2]': 3})
Epoch: 644, Reward: -3950, Loss: 27.99707, Actions: Counter({'[2]': 489, '[0]': 63, '[4]': 59, '[1]': 30, '[3]': 3})
Epoch: 1431, Reward: -7257, Loss: 38.570602, Actions: Counter({'[2]': 388, '[3]': 344, '[4]': 276, '[1]': 260, '[0]': 163})
Epoch: 2535, Reward: -13950, Loss: 37.15845, Actions: Counter({'[0]': 882, '[1]': 641, '[2]': 618, '[3]': 337, '[4]': 57})
Epoch: 1039, Reward: -4588, Loss: 47.05111, Actions: Counter({'[2]': 381, '[3]': 256, '[1]': 208, '[0]': 181, '[4]': 13})
Epoch: 720, Reward: -2307, Loss: 47.083843, Actions: Counter({'[0]': 211, '[1]': 161, '[3]': 157, '[2]': 156, '[4]': 35})
Epoch: 1009, Reward: -3244, Loss: 44.958794, Actions: Counter({'[0]': 237, '[2]': 229, '[4]': 193, '[1]': 177, '[3]': 173})
Epoch: 1467, Reward: -5313, Loss: 48.695858, Actions: Counter({'[2]': 540, '[0]': 336, '[3]': 275, '[1]': 257, '[4]': 59})
Epoch: 1749, Reward: -5829, Loss: 41.24671, Actions: Counter({'[2]': 505, '[0]': 434, '[3]': 416, '[1]': 325, '[4]': 69})
Epoch: 1063, Reward: -3055, Loss: 33.206436, Actions: Counter({'[2]': 393, '[3]': 348, '[0]': 164, '[1]': 138, '[4]': 20})
Epoch: 591, Reward: -1701, Loss: 39.11603, Actions: Counter({'[2]': 251, '[3]': 238, '[0]': 72, '[1]': 30})
Epoch: 566, Reward: -1631, Loss: 37.995922, Actions: Counter({'[2]': 221, '[3]': 209, '[0]': 78, '[1]': 52, '[4]': 6})
Epoch: 2884, Reward: -9259, Loss: 41.315308, Actions: Counter({'[2]': 823, '[3]': 746, '[0]': 687, '[1]': 582, '[4]': 46})
Epoch: 1214, Reward: -3513, Loss: 33.56281, Actions: Counter({'[0]': 410, '[2]': 298, '[1]': 298, '[3]': 205, '[4]': 3})
Epoch: 911, Reward: -3281, Loss: 43.100586, Actions: Counter({'[0]': 240, '[1]': 209, '[2]': 197, '[3]': 189, '[4]': 76})
Epoch: 803, Reward: -2723, Loss: 43.11161, Actions: Counter({'[2]': 234, '[3]': 222, '[1]': 145, '[0]': 134, '[4]': 68})
Epoch: 149, Reward: -116, Loss: 39.545403, Actions: Counter({'[3]': 59, '[2]': 55, '[1]': 19, '[0]': 12, '[4]': 4})
Epoch: 355, Reward: -889, Loss: 53.833744, Actions: Counter({'[3]': 77, '[0]': 76, '[1]': 75, '[2]': 72, '[4]': 55})
Epoch: 676, Reward: -1813, Loss: 38.615383, Actions: Counter({'[2]': 249, '[3]': 189, '[1]': 108, '[0]': 104, '[4]': 26})
Epoch: 273, Reward: -645, Loss: 31.90476, Actions: Counter({'[2]': 78, '[4]': 56, '[0]': 52, '[3]': 49, '[1]': 38})
Epoch: 228, Reward: -645, Loss: 25.579252, Actions: Counter({'[2]': 72, '[1]': 60, '[4]': 38, '[0]': 33, '[3]': 25})
Epoch: 591, Reward: -1440, Loss: 50.032574, Actions: Counter({'[2]': 223, '[3]': 163, '[0]': 115, '[1]': 89, '[4]': 1})
Epoch: 84, Reward: -33, Loss: 58.117096, Actions: Counter({'[2]': 32, '[3]': 27, '[4]': 10, '[0]': 9, '[1]': 6})
Epoch: 660, Reward: -1986, Loss: 50.496426, Actions: Counter({'[2]': 219, '[3]': 197, '[0]': 129, '[1]': 108, '[4]': 7})
Epoch: 1254, Reward: -4290, Loss: 43.100475, Actions: Counter({'[2]': 395, '[3]': 298, '[0]': 224, '[1]': 223, '[4]': 114})
Epoch: 334, Reward: -661, Loss: 33.813816, Actions: Counter({'[2]': 83, '[1]': 78, '[0]': 65, '[4]': 58, '[3]': 50})
Epoch: 2473, Reward: -7714, Loss: 42.396175, Actions: Counter({'[2]': 827, '[3]': 773, '[0]': 455, '[1]': 366, '[4]': 52})
Epoch: 801, Reward: -2010, Loss: 46.492386, Actions: Counter({'[2]': 268, '[3]': 255, '[0]': 127, '[1]': 115, '[4]': 36})
Epoch: 2190, Reward: -6495, Loss: 46.866966, Actions: Counter({'[2]': 600, '[1]': 488, '[3]': 486, '[0]': 470, '[4]': 146})
Epoch: 636, Reward: -1944, Loss: 36.195038, Actions: Counter({'[2]': 151, '[4]': 130, '[1]': 125, '[3]': 118, '[0]': 112})
Epoch: 738, Reward: -1902, Loss: 53.082035, Actions: Counter({'[1]': 201, '[0]': 197, '[2]': 165, '[3]': 130, '[4]': 45})
Epoch: 424, Reward: -1093, Loss: 52.25927, Actions: Counter({'[2]': 109, '[1]': 109, '[0]': 94, '[3]': 58, '[4]': 54})
Epoch: 1859, Reward: -5903, Loss: 51.432518, Actions: Counter({'[1]': 466, '[0]': 419, '[2]': 406, '[3]': 341, '[4]': 227})
Epoch: 606, Reward: -1807, Loss: 60.09865, Actions: Counter({'[2]': 158, '[3]': 130, '[1]': 109, '[0]': 105, '[4]': 104})
Epoch: 2227, Reward: -6838, Loss: 47.642406, Actions: Counter({'[1]': 802, '[0]': 726, '[2]': 375, '[3]': 294, '[4]': 30})
Epoch: 613, Reward: -1354, Loss: 46.47489, Actions: Counter({'[2]': 208, '[0]': 165, '[1]': 128, '[3]': 110, '[4]': 2})
Epoch: 1234, Reward: -3028, Loss: 58.655228, Actions: Counter({'[0]': 371, '[1]': 356, '[2]': 277, '[3]': 221, '[4]': 9})
Epoch: 1427, Reward: -3653, Loss: 55.09597, Actions: Counter({'[0]': 546, '[1]': 510, '[2]': 215, '[3]': 155, '[4]': 1})
Epoch: 602, Reward: -1352, Loss: 47.38696, Actions: Counter({'[2]': 212, '[3]': 193, '[0]': 110, '[1]': 85, '[4]': 2})
Epoch: 432, Reward: -1056, Loss: 40.40376, Actions: Counter({'[0]': 127, '[2]': 109, '[3]': 103, '[1]': 93})
Epoch: 2130, Reward: -6057, Loss: 37.40193, Actions: Counter({'[3]': 685, '[2]': 647, '[0]': 415, '[1]': 375, '[4]': 8})
