Epoch: 1019, Reward: -21.0, Loss: 36.865284, Actions: Counter({'[4]': 1015, '[0]': 4})
Epoch: 1312, Reward: -19.0, Loss: 0.095937744, Actions: Counter({'[5]': 408, '[1]': 302, '[3]': 225, '[0]': 183, '[2]': 104, '[4]': 90})
Epoch: 1044, Reward: -21.0, Loss: 0.034677967, Actions: Counter({'[4]': 357, '[0]': 173, '[2]': 163, '[5]': 141, '[3]': 110, '[1]': 100})
Epoch: 1170, Reward: -21.0, Loss: 0.028906526, Actions: Counter({'[5]': 372, '[2]': 248, '[1]': 226, '[3]': 192, '[4]': 132})
Epoch: 1325, Reward: -20.0, Loss: 0.037358113, Actions: Counter({'[5]': 453, '[1]': 226, '[3]': 193, '[0]': 186, '[2]': 141, '[4]': 126})
Epoch: 1354, Reward: -21.0, Loss: 0.04206477, Actions: Counter({'[1]': 430, '[3]': 427, '[0]': 190, '[5]': 124, '[2]': 100, '[4]': 83})
Epoch: 1223, Reward: -20.0, Loss: 0.043038625, Actions: Counter({'[5]': 315, '[3]': 255, '[4]': 196, '[1]': 186, '[2]': 169, '[0]': 102})
Epoch: 1100, Reward: -21.0, Loss: 0.04335452, Actions: Counter({'[2]': 269, '[0]': 202, '[3]': 169, '[5]': 164, '[1]': 150, '[4]': 146})
Epoch: 1294, Reward: -20.0, Loss: 0.039436463, Actions: Counter({'[5]': 319, '[3]': 254, '[2]': 206, '[4]': 203, '[1]': 200, '[0]': 112})
Epoch: 1296, Reward: -21.0, Loss: 0.046378717, Actions: Counter({'[1]': 312, '[0]': 303, '[3]': 277, '[2]': 211, '[5]': 156, '[4]': 37})
Epoch: 1380, Reward: -20.0, Loss: 0.03887236, Actions: Counter({'[3]': 345, '[2]': 298, '[1]': 292, '[5]': 206, '[0]': 178, '[4]': 61})
Epoch: 1387, Reward: -19.0, Loss: 0.036210574, Actions: Counter({'[2]': 611, '[1]': 344, '[5]': 152, '[3]': 140, '[4]': 126, '[0]': 14})
Epoch: 1250, Reward: -19.0, Loss: 0.043983076, Actions: Counter({'[2]': 410, '[0]': 290, '[1]': 247, '[5]': 131, '[4]': 109, '[3]': 63})
Epoch: 1103, Reward: -21.0, Loss: 0.04634877, Actions: Counter({'[2]': 264, '[5]': 250, '[0]': 199, '[3]': 156, '[4]': 120, '[1]': 114})
Epoch: 1061, Reward: -21.0, Loss: 0.042727973, Actions: Counter({'[3]': 404, '[2]': 289, '[4]': 153, '[5]': 152, '[0]': 52, '[1]': 11})
Epoch: 1409, Reward: -20.0, Loss: 0.058674768, Actions: Counter({'[2]': 488, '[3]': 319, '[5]': 187, '[1]': 174, '[0]': 173, '[4]': 68})
Epoch: 1196, Reward: -20.0, Loss: 0.05036978, Actions: Counter({'[5]': 443, '[1]': 277, '[0]': 205, '[2]': 105, '[4]': 84, '[3]': 82})
Epoch: 1484, Reward: -19.0, Loss: 0.060914237, Actions: Counter({'[3]': 424, '[5]': 354, '[2]': 316, '[0]': 311, '[4]': 56, '[1]': 23})
Epoch: 1182, Reward: -20.0, Loss: 0.030844785, Actions: Counter({'[2]': 296, '[3]': 275, '[5]': 229, '[1]': 152, '[0]': 123, '[4]': 107})
Epoch: 1247, Reward: -21.0, Loss: 0.029922234, Actions: Counter({'[3]': 396, '[5]': 288, '[2]': 206, '[0]': 183, '[1]': 108, '[4]': 66})
Epoch: 1235, Reward: -20.0, Loss: 0.043600693, Actions: Counter({'[2]': 353, '[5]': 314, '[1]': 214, '[3]': 160, '[0]': 103, '[4]': 91})
Epoch: 1255, Reward: -21.0, Loss: 0.03044594, Actions: Counter({'[5]': 293, '[0]': 273, '[1]': 254, '[4]': 164, '[2]': 150, '[3]': 121})
Epoch: 1389, Reward: -20.0, Loss: 0.031146612, Actions: Counter({'[2]': 382, '[3]': 377, '[0]': 227, '[4]': 221, '[1]': 106, '[5]': 76})
Epoch: 1110, Reward: -20.0, Loss: 0.024601612, Actions: Counter({'[1]': 342, '[0]': 271, '[2]': 210, '[3]': 112, '[5]': 90, '[4]': 85})
Epoch: 1497, Reward: -18.0, Loss: 0.021864299, Actions: Counter({'[2]': 403, '[1]': 384, '[3]': 254, '[5]': 236, '[0]': 128, '[4]': 92})
